Index,Value
0,"('0', '--Select--')"
1,"('451', 'Absinthe')"
2,"('137', 'Ajwan')"
3,"('281', 'Alasande Gram')"
4,"('325', 'Almond(Badam)')"
5,"('166', 'Alsandikai')"
6,"('86', 'Amaranthus')"
7,"('130', 'Ambada Seed')"
8,"('417', 'Ambady/Mesta')"
9,"('355', 'Amla(Nelli Kai)')"
10,"('102', 'Amphophalus')"
11,"('419', 'Amranthas Red')"
12,"('209', 'Antawala')"
13,"('379', 'Anthorium')"
14,"('17', 'Apple')"
15,"('326', 'Apricot(Jardalu/Khumani)')"
16,"('140', 'Arecanut(Betelnut/Supari)')"
17,"('49', 'Arhar (Tur/Red Gram)(Whole)')"
18,"('260', 'Arhar Dal(Tur Dal)')"
19,"('444', 'Asalia')"
20,"('505', 'Asgand')"
21,"('83', 'Ashgourd')"
22,"('506', 'Ashoka')"
23,"('443', 'Ashwagandha')"
24,"('434', 'Asparagus')"
25,"('232', 'Astera')"
26,"('507', 'Atis')"
27,"('269', 'Avare Dal')"
28,"('418', 'Bael')"
29,"('491', 'Bajji chilli')"
30,"('28', 'Bajra(Pearl Millet/Cumbu)')"
31,"('274', 'Balekai')"
32,"('482', 'balsam')"
33,"('204', 'Bamboo')"
34,"('19', 'Banana')"
35,"('90', 'Banana - Green')"
36,"('483', 'Banana flower')"
37,"('485', 'Banana Leaf')"
38,"('484', 'Banana stem')"
39,"('29', 'Barley (Jau)')"
40,"('435', 'basil')"
41,"('321', 'Bay leaf (Tejpatta)')"
42,"('94', 'Beans')"
43,"('262', 'Beaten Rice')"
44,"('157', 'Beetroot')"
45,"('508', 'Behada')"
46,"('263', 'Bengal Gram Dal (Chana Dal)')"
47,"('6', 'Bengal Gram(Gram)(Whole)')"
48,"('357', 'Ber(Zizyphus/Borehannu)')"
49,"('143', 'Betal Leaves')"
50,"('41', 'Betelnuts')"
51,"('85', 'Bhindi(Ladies Finger)')"
52,"('448', 'Bhui Amlaya')"
53,"('113', 'Big Gram')"
54,"('51', 'Binoula')"
55,"('81', 'Bitter gourd')"
56,"('8', 'Black Gram (Urd Beans)(Whole)')"
