date,value
14/01/2021 23:58:00,1435.75
15/01/2021 23:58:00,1434.5
19/01/2021 23:58:00,1421.25
20/01/2021 23:58:00,1384.5
21/01/2021 23:58:00,1387
22/01/2021 23:58:00,1367
25/01/2021 23:58:00,1352.25
26/01/2021 23:58:00,1376.5
27/01/2021 23:58:00,1382.75
28/01/2021 23:58:00,1377.75
29/01/2021 23:58:00,1376.75
01/02/2021 23:58:00,1383
02/02/2021 23:58:00,1372
03/02/2021 23:58:00,1372.5
04/02/2021 23:58:00,1381.5
05/02/2021 23:58:00,1382.75
08/02/2021 23:58:00,1392.5
09/02/2021 23:58:00,1409.5
10/02/2021 23:58:00,1404.75
11/02/2021 23:58:00,1379.75
12/02/2021 23:58:00,1376.25
16/02/2021 23:58:00,1393.25
17/02/2021 23:58:00,1391
18/02/2021 23:58:00,1392
19/02/2021 23:58:00,1391
22/02/2021 23:58:00,1391
23/02/2021 23:58:00,1428.25
24/02/2021 23:58:00,1428
25/02/2021 23:58:00,1445.75
26/02/2021 23:58:00,1408
01/03/2021 23:58:00,1422.5
02/03/2021 23:58:00,1416.5
03/03/2021 23:58:00,1417.75
04/03/2021 23:58:00,1438
05/03/2021 23:58:00,1433.25
08/03/2021 23:58:00,1460
09/03/2021 23:58:00,1442
10/03/2021 23:58:00,1445.75
11/03/2021 23:58:00,1422.5
12/03/2021 23:58:00,1417.75
15/03/2021 23:58:00,1423.75
16/03/2021 23:58:00,1425
17/03/2021 23:58:00,1425.25
18/03/2021 23:58:00,1419
19/03/2021 23:58:00,1418.25
22/03/2021 23:58:00,1423.75
23/03/2021 23:58:00,1435
24/03/2021 23:58:00,1433.5
25/03/2021 23:58:00,1431.75
26/03/2021 23:58:00,1419
29/03/2021 23:58:00,1402.75
30/03/2021 23:58:00,1394.75
31/03/2021 23:58:00,1436.75
01/04/2021 23:58:00,1456.25
05/04/2021 23:58:00,1421
06/04/2021 23:58:00,1431
07/04/2021 23:58:00,1427.5
08/04/2021 23:58:00,1422.5
09/04/2021 23:58:00,1419
12/04/2021 23:58:00,1407.25
13/04/2021 23:58:00,1398.75
14/04/2021 23:58:00,1408.75
15/04/2021 23:58:00,1414.25
16/04/2021 23:58:00,1430
19/04/2021 23:58:00,1441.75
20/04/2021 23:58:00,1471.5
21/04/2021 23:58:00,1481.75
22/04/2021 23:58:00,1524
23/04/2021 23:58:00,1525.5
26/04/2021 23:58:00,1544.75
27/04/2021 23:58:00,1574.75
28/04/2021 23:58:00,1544.5
29/04/2021 23:58:00,1526.25
30/04/2021 23:58:00,1537
03/05/2021 23:58:00,1563.5
04/05/2021 23:58:00,1553
05/05/2021 23:58:00,1554
06/05/2021 23:58:00,1571
