date,value
1/12/2021 23:58:00,670
1/13/2021 23:58:00,680.75
1/14/2021 23:58:00,673.25
1/15/2021 23:58:00,693
1/19/2021 23:58:00,691.25
1/20/2021 23:58:00,676
1/21/2021 23:58:00,674.75
1/22/2021 23:58:00,659
1/25/2021 23:58:00,651.5
1/26/2021 23:58:00,667.75
1/27/2021 23:58:00,656.5
1/28/2021 23:58:00,651.75
1/29/2021 23:58:00,664.75
2/1/2021 23:58:00,671
2/2/2021 23:58:00,656.75
2/3/2021 23:58:00,649.75
2/4/2021 23:58:00,650.5
2/5/2021 23:58:00,647.5
2/8/2021 23:58:00,657.5
2/9/2021 23:58:00,660.5
2/10/2021 23:58:00,650.5
2/11/2021 23:58:00,644.75
2/12/2021 23:58:00,647.5
2/16/2021 23:58:00,664.25
2/17/2021 23:58:00,665
2/18/2021 23:58:00,668.75
2/19/2021 23:58:00,672
2/22/2021 23:58:00,671
2/23/2021 23:58:00,672.5
2/24/2021 23:58:00,688.5
2/25/2021 23:58:00,686
2/26/2021 23:58:00,674
3/1/2021 23:58:00,666.75
3/2/2021 23:58:00,668.75
3/3/2021 23:58:00,666
3/4/2021 23:58:00,662
3/5/2021 23:58:00,660.75
3/8/2021 23:58:00,662.75
3/9/2021 23:58:00,657.75
3/10/2021 23:58:00,656.75
3/11/2021 23:58:00,656
3/12/2021 23:58:00,645.75
3/15/2021 23:58:00,647.75
3/16/2021 23:58:00,648
3/17/2021 23:58:00,649.5
3/18/2021 23:58:00,641
3/19/2021 23:58:00,635.5
3/22/2021 23:58:00,630.75
3/23/2021 23:58:00,644.5
3/24/2021 23:58:00,638.75
3/25/2021 23:58:00,625.5
3/26/2021 23:58:00,619
3/29/2021 23:58:00,617.75
3/30/2021 23:58:00,616.75
3/31/2021 23:58:00,631.75
4/1/2021 23:58:00,625.75
4/5/2021 23:58:00,625
4/6/2021 23:58:00,627.5
4/7/2021 23:58:00,619.75
4/8/2021 23:58:00,631.5
4/9/2021 23:58:00,646.5
4/12/2021 23:58:00,640.25
4/13/2021 23:58:00,640.5
4/14/2021 23:58:00,658.5
4/15/2021 23:58:00,659
4/16/2021 23:58:00,660.75
4/19/2021 23:58:00,663
4/20/2021 23:58:00,679.5
4/21/2021 23:58:00,680
4/22/2021 23:58:00,715
4/23/2021 23:58:00,715.25
4/26/2021 23:58:00,746
4/27/2021 23:58:00,769.5
4/28/2021 23:58:00,741.25
4/29/2021 23:58:00,733.75
4/30/2021 23:58:00,736.5
5/3/2021 23:58:00,753.5
5/4/2021 23:58:00,733
5/5/2021 23:58:00,746
5/6/2021 23:58:00,755.75
5/7/2021 23:58:00,767.5
5/10/2021 23:58:00,760.75
5/11/2021 23:58:00,749
5/12/2021 23:58:00,751.5
5/13/2021 23:58:00,734.25
5/14/2021 23:58:00,724.25
5/17/2021 23:58:00,707.5
5/18/2021 23:58:00,718.5
5/19/2021 23:58:00,699
5/20/2021 23:58:00,688
5/21/2021 23:58:00,677.5
5/24/2021 23:58:00,668.75
5/25/2021 23:58:00,667.5
5/26/2021 23:58:00,657.75
5/27/2021 23:58:00,679.5
5/28/2021 23:58:00,679.75
6/1/2021 23:58:00,702
6/2/2021 23:58:00,701.5
6/3/2021 23:58:00,699.25
6/4/2021 23:58:00,690.25
6/7/2021 23:58:00,704
6/8/2021 23:58:00,699.25
6/9/2021 23:58:00,686
6/10/2021 23:58:00,689.25
6/11/2021 23:58:00,693.75
6/14/2021 23:58:00,685.75
6/15/2021 23:58:00,680.75
6/16/2021 23:58:00,676
6/17/2021 23:58:00,670
6/18/2021 23:58:00,671.5
6/21/2021 23:58:00,675.75
6/22/2021 23:58:00,676.5
6/23/2021 23:58:00,672
6/24/2021 23:58:00,662.5
6/25/2021 23:58:00,658
6/28/2021 23:58:00,659.25
6/29/2021 23:58:00,663.5
6/30/2021 23:58:00,681
7/1/2021 23:58:00,694.25
7/2/2021 23:58:00,673
7/6/2021 23:58:00,638
7/7/2021 23:58:00,634.25
7/8/2021 23:58:00,627.75
7/9/2021 23:58:00,620.75
7/12/2021 23:58:00,645.5
7/13/2021 23:58:00,644.75
7/14/2021 23:58:00,657.5
7/15/2021 23:58:00,673.5
7/16/2021 23:58:00,696.25
7/19/2021 23:58:00,709.5
7/20/2021 23:58:00,718
7/21/2021 23:58:00,712
7/22/2021 23:58:00,709
7/23/2021 23:58:00,696.75
7/26/2021 23:58:00,684
7/27/2021 23:58:00,690
7/28/2021 23:58:00,696.25
7/29/2021 23:58:00,706.75
7/30/2021 23:58:00,711.5
8/2/2021 23:58:00,731.75
8/3/2021 23:58:00,734.75
8/4/2021 23:58:00,738.75
8/5/2021 23:58:00,725.5
8/6/2021 23:58:00,724.75
8/9/2021 23:58:00,723.75
8/10/2021 23:58:00,730
8/11/2021 23:58:00,744.75
8/12/2021 23:58:00,772.5
8/13/2021 23:58:00,786.5
8/16/2021 23:58:00,784.25
8/17/2021 23:58:00,778.25
8/18/2021 23:58:00,754.5
8/19/2021 23:58:00,751
8/20/2021 23:58:00,747.75
8/23/2021 23:58:00,745
8/24/2021 23:58:00,737.5
8/25/2021 23:58:00,734
8/26/2021 23:58:00,741
8/27/2021 23:58:00,745
8/30/2021 23:58:00,743.5
8/31/2021 23:58:00,725.5
9/1/2021 23:58:00,729.5
9/2/2021 23:58:00,721.25
9/3/2021 23:58:00,727.5
9/7/2021 23:58:00,733.25
9/8/2021 23:58:00,724
9/9/2021 23:58:00,711.25
9/10/2021 23:58:00,695.75
9/13/2021 23:58:00,690
9/14/2021 23:58:00,701.5
9/15/2021 23:58:00,714.75
9/16/2021 23:58:00,716.75
9/17/2021 23:58:00,716
9/20/2021 23:58:00,710.75
9/21/2021 23:58:00,701
9/22/2021 23:58:00,706.75
9/23/2021 23:58:00,719.5
9/24/2021 23:58:00,725.75
9/27/2021 23:58:00,728.5
9/28/2021 23:58:00,726.75
9/29/2021 23:58:00,717.75
9/30/2021 23:58:00,732.75
10/1/2021 23:58:00,758.5
10/4/2021 23:58:00,763.5
10/5/2021 23:58:00,757
10/6/2021 23:58:00,756.75
10/7/2021 23:58:00,752.5
10/8/2021 23:58:00,746.5
10/11/2021 23:58:00,739.5
10/12/2021 23:58:00,743.75
10/13/2021 23:58:00,737.75
10/14/2021 23:58:00,729.5
10/15/2021 23:58:00,740.5
10/18/2021 23:58:00,738.75
10/19/2021 23:58:00,745.25
10/20/2021 23:58:00,750
10/21/2021 23:58:00,752.5
10/22/2021 23:58:00,759.5
10/25/2021 23:58:00,767
10/26/2021 23:58:00,765
10/27/2021 23:58:00,762.75
10/28/2021 23:58:00,780
10/29/2021 23:58:00,780
11/1/2021 23:58:00,800.5
11/2/2021 23:58:00,807
11/3/2021 23:58:00,796.75
11/4/2021 23:58:00,794.25
11/5/2021 23:58:00,781.5
11/8/2021 23:58:00,773
11/9/2021 23:58:00,783.25
11/10/2021 23:58:00,803.75
11/11/2021 23:58:00,836
11/12/2021 23:58:00,837.75
11/15/2021 23:58:00,840.25
11/16/2021 23:58:00,837.75
11/17/2021 23:58:00,844
11/18/2021 23:58:00,854
11/19/2021 23:58:00,841.25
11/22/2021 23:58:00,859.5
11/23/2021 23:58:00,868.25
