Index,Value
0,--Select--
1,Absinthe
2,Ajwan
3,Alasande Gram
4,Almond(Badam)
5,Alsandikai
6,Amaranthus
7,Ambada Seed
8,Ambady/Mesta
9,Amla(Nelli Kai)
10,Amphophalus
11,Amranthas Red
12,Antawala
13,Anthorium
14,Apple
15,Apricot(Jardalu/Khumani)
16,Arecanut(Betelnut/Supari)
17,Arhar (Tur/Red Gram)(Whole)
18,Arhar Dal(Tur Dal)
19,Asalia
20,Asgand
21,Ashgourd
22,Ashoka
23,Ashwagandha
24,Asparagus
25,Astera
26,Atis
27,Avare Dal
28,Bael
29,Bajji chilli
30,Bajra(Pearl Millet/Cumbu)
31,Balekai
32,balsam
33,Bamboo
34,Banana
35,Banana - Green
36,Banana flower
37,Banana Leaf
38,Banana stem
39,Barley (Jau)
40,basil
41,Bay leaf (Tejpatta)
42,Beans
43,Beaten Rice
44,Beetroot
45,Behada
46,Bengal Gram Dal (Chana Dal)
47,Bengal Gram(Gram)(Whole)
48,Ber(Zizyphus/Borehannu)
49,Betal Leaves
50,Betelnuts
51,Bhindi(Ladies Finger)
52,Bhui Amlaya
53,Big Gram
54,Binoula
55,Bitter gourd
56,Black Gram (Urd Beans)(Whole)
57,Black Gram Dal (Urd Dal)
58,Black pepper
59,BOP
60,Borehannu
61,Bottle gourd
62,Brahmi
63,Bran
64,Bread Fruit
65,Brinjal
66,Brocoli
67,Broken Rice
68,Broomstick(Flower Broom)
69,Bull
70,Bullar
71,Bunch Beans
72,Butter
73,buttery
74,Cabbage
75,Calendula
76,Calf
77,Camel Hair
78,Cane
79,Capsicum
80,Cardamoms
81,Carnation
82,Carrot
83,Cashew Kernnel
84,Cashewnuts
85,Castor Oil
86,Castor Seed
87,Cauliflower
88,Chakotha
89,Chandrashoor
90,Chapparad Avare
91,Chennangi (Whole)
92,Chennangi Dal
93,Cherry
94,Chikoos(Sapota)
95,Chili Red
96,Chilly Capsicum
97,Chironji
98,Chow Chow
99,Chrysanthemum
100,Chrysanthemum(Loose)
101,Cinamon(Dalchini)
102,cineraria
103,Clarkia
104,Cloves
105,Cluster beans
106,Coca
107,Cock
108,Cocoa
109,Coconut
110,Coconut Oil
111,Coconut Seed
112,Coffee
113,Colacasia
114,Copra
115,Coriander(Leaves)
116,Corriander seed
117,Cossandra
118,Cotton
119,Cotton Seed
120,Cow
121,Cowpea (Lobia/Karamani)
122,Cowpea(Veg)
123,Cucumbar(Kheera)
124,Cummin Seed(Jeera)
125,Curry Leaf
126,Custard Apple (Sharifa)
127,Daila(Chandni)
128,Dal (Avare)
129,Dalda
130,Delha
131,Dhaincha
132,dhawai flowers
133,dianthus
134,Double Beans
135,Dragon fruit
136,dried mango
137,Drumstick
138,Dry Chillies
139,Dry Fodder
140,Dry Grapes
141,Duck
142,Duster Beans
143,Egg
144,Egypian Clover(Barseem)
145,Elephant Yam (Suran)
146,Field Pea
147,Fig(Anjura/Anjeer)
148,Firewood
149,Fish
150,Flax seeds
151,Flower Broom
152,Foxtail Millet(Navane)
153,French Beans (Frasbean)
154,Galgal(Lemon)
155,Gamphrena
156,Garlic
157,Ghee
158,Giloy
159,Gingelly Oil
160,Ginger(Dry)
161,Ginger(Green)
162,Gladiolus Bulb
163,Gladiolus Cut Flower
164,Glardia
165,Goat
166,Goat Hair
167,golden rod
168,Gond
169,Goose berry (Nellikkai)
170,Gram Raw(Chholia)
171,Gramflour
172,Grapes
173,Green Avare (W)
174,Green Chilli
175,Green Fodder
176,Green Gram (Moong)(Whole)
177,Green Gram Dal (Moong Dal)
178,Green Peas
179,Ground Nut Oil
180,Ground Nut Seed
181,Groundnut
182,Groundnut (Split)
183,Groundnut pods (raw)
184,Guar
185,Guar Seed(Cluster Beans Seed)
186,Guava
187,Gudmar
188,Guggal
189,gulli
190,Gur(Jaggery)
191,Gurellu
192,gypsophila
193,Haralekai
194,Harrah
195,He Buffalo
196,Heliconia species
197,Hen
198,Hippe Seed
199,Honey
200,Honge seed
201,Hybrid Cumbu
202,hydrangea
203,Indian Beans (Seam)
204,Indian Colza(Sarson)
205,Irish
206,Isabgul (Psyllium)
207,Jack Fruit
208,Jaee
209,Jaffri
210,Jaggery
211,Jamamkhan
212,Jamun(Narale Hannu)
213,Jarbara
214,Jasmine
215,Javi
216,Jowar(Sorghum)
217,Jute
218,Jute Seed
219,Kabuli Chana(Chickpeas-White)
220,Kacholam
221,Kakada
222,kakatan
223,Kalihari
224,Kalmegh
225,Kankambra
226,Karamani
227,karanja seeds
228,Karbuja(Musk Melon)
229,Kartali (Kantola)
230,Kevda
231,Kharif Mash
232,Khirni
233,Khoya
234,Kinnow
235,Knool Khol
236,Kodo Millet(Varagu)
237,kokum
238,Kooth
239,Kuchur
240,Kulthi(Horse Gram)
241,Kutki
242,kutki
243,Ladies Finger
244,Laha
245,Lak(Teora)
246,Leafy Vegetable
247,Lemon
248,Lentil (Masur)(Whole)
249,Lilly
250,Lime
251,Limonia (status)
252,Linseed
253,Lint
254,liquor turmeric
255,Litchi
256,Little gourd (Kundru)
257,Long Melon(Kakri)
258,Lotus
259,Lotus Sticks
260,Lukad
261,Lupine
262,Ma.Inji
263,Mace
264,macoy
265,Mahedi
266,Mahua
267,Mahua Seed(Hippe seed)
268,Maida Atta
269,Maize
270,Mango
271,Mango (Raw-Ripe)
272,mango powder
273,Maragensu
274,Marasebu
275,Marget
276,Marigold(Calcutta)
277,Marigold(loose)
278,Marikozhunthu
279,Mash
280,Mashrooms
281,Masur Dal
282,Mataki
283,Methi Seeds
284,Methi(Leaves)
285,Millets
286,Mint(Pudina)
287,Moath Dal
288,Moath Dal
289,Mousambi(Sweet Lime)
290,Muesli
291,Muleti
292,Muskmelon Seeds
293,Mustard
294,Mustard Oil
295,Myrobolan(Harad)
296,Nargasi
297,Nearle Hannu
298,Neem Seed
299,Nelli Kai
300,Nerium
301,nigella seeds
302,nigella seeds
303,Niger Seed (Ramtil)
304,Nutmeg
305,Onion
306,Onion Green
307,Orange
308,Orchid
309,Other green and fresh vegetables
310,Other Pulses
311,Ox
312,Paddy(Dhan)(Basmati)
313,Paddy(Dhan)(Common)
314,Palash flowers
315,Papaya
316,Papaya (Raw)
317,Patti Calcutta
318,Peach
319,Pear(Marasebu)
320,Peas cod
321,Peas Wet
322,Peas(Dry)
323,Pegeon Pea (Arhar Fali)
324,Pepper garbled
325,Pepper ungarbled
326,Perandai
