value,text
0,--Select--
62,Agar Malwa
59,Alirajpur
58,Anupur
57,Ashoknagar
56,Badwani
17,Balaghat
19,Betul
20,Bhind
1,Bhopal
60,Burhanpur
22,Chhatarpur
23,Chhindwara
24,Damoh
49,Datia
2,Dewas
50,Dhar
51,Dindori
4,Guna
5,Gwalior
52,Harda
27,Hoshangabad
6,Indore
7,Jabalpur
28,Jhabua
53,Katni
29,Khandwa
30,Khargone
31,Mandla
32,Mandsaur
33,Morena
34,Narsinghpur
9,Neemuch
35,Panna
37,Raisen
38,Rajgarh
39,Ratlam
40,Rewa
41,Sagar
13,Satna
16,Sehore
43,Seoni
12,Shajapur
44,Shehdol
54,Sheopur
45,Shivpuri
46,Sidhi
61,Singroli
48,Tikamgarh
14,Ujjain
55,Umariya
15,Vidisha
