formatted_date,Sl No,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
01-02-2023,14,Shajapur,Shajapur,Mustard,Other,FAQ,4000,5454,4631,01 Feb 2023
01-02-2024,217,Shajapur,Shajapur,Mustard,Mustard,FAQ,3940,3940,4260,01 Feb 2024
01-03-2023,221,Shajapur,Shajapur,Mustard,Other,FAQ,4500,5100,4850,01 Mar 2023
01-06-2023,219,Shajapur,Shajapur,Mustard,Other,FAQ,4370,4410,4410,01 Jun 2023
01-06-2024,77,Shajapur,Shajapur,Mustard,Mustard,FAQ,4700,5015,5015,01 Jun 2024
01-07-2023,228,Shajapur,Shajapur,Mustard,Other,FAQ,4800,4825,4825,01 Jul 2023
01-07-2024,24,Shajapur,Shajapur,Mustard,Mustard,FAQ,4390,5305,5105,01 Jul 2024
01-08-2023,135,Shajapur,Shajapur,Mustard,Other,FAQ,5150,5151,5151,01 Aug 2023
01-08-2024,38,Shajapur,Shajapur,Mustard,Mustard,FAQ,3020,5175,4500,01 Aug 2024
01-09-2023,195,Shajapur,Shajapur,Mustard,Other,FAQ,5165,5165,5165,01 Sep 2023
01-10-2024,229,Shajapur,Shajapur,Mustard,Mustard,FAQ,5400,5400,5400,01 Oct 2024
01-11-2023,18,Shajapur,Shajapur,Mustard,Other,FAQ,4800,4800,4800,01 Nov 2023
01-12-2023,114,Shajapur,Shajapur,Mustard,Other,FAQ,4885,4955,4895,01 Dec 2023
02-02-2023,31,Shajapur,Shajapur,Mustard,Other,FAQ,4005,4750,4445,02 Feb 2023
02-03-2023,227,Shajapur,Shajapur,Mustard,Other,FAQ,4510,5200,5050,02 Mar 2023
02-04-2024,194,Shajapur,Shajapur,Mustard,Mustard,FAQ,4575,4815,4740,02 Apr 2024
02-05-2023,143,Shajapur,Shajapur,Mustard,Other,FAQ,4400,4645,4565,02 May 2023
02-06-2023,118,Shajapur,Shajapur,Mustard,Other,FAQ,4030,4420,4360,02 Jun 2023
02-07-2024,115,Shajapur,Shajapur,Mustard,Mustard,FAQ,4840,5300,5300,02 Jul 2024
02-08-2023,88,Shajapur,Shajapur,Mustard,Other,FAQ,3020,5125,4980,02 Aug 2023
02-08-2024,192,Shajapur,Shajapur,Mustard,Mustard,FAQ,4405,5123,5123,02 Aug 2024
02-09-2023,208,Shajapur,Shajapur,Mustard,Other,FAQ,5190,5190,5190,02 Sep 2023
03-01-2023,173,Shajapur,Shajapur,Mustard,Other,FAQ,5250,5520,5520,03 Jan 2023
03-02-2023,52,Shajapur,Shajapur,Mustard,Other,FAQ,3630,5010,4305,03 Feb 2023
03-02-2024,92,Shajapur,Shajapur,Mustard,Mustard,FAQ,3015,4790,3805,03 Feb 2024
03-03-2023,101,Shajapur,Shajapur,Mustard,Other,FAQ,4510,5248,5005,03 Mar 2023
03-05-2023,189,Shajapur,Shajapur,Mustard,Other,FAQ,4415,4630,4580,03 May 2023
03-05-2024,125,Shajapur,Shajapur,Mustard,Mustard,FAQ,4600,4900,4880,03 May 2024
03-06-2024,87,Shajapur,Shajapur,Mustard,Mustard,FAQ,5140,5335,5335,03 Jun 2024
03-07-2024,237,Shajapur,Shajapur,Mustard,Mustard,FAQ,5245,5321,5321,03 Jul 2024
03-10-2024,175,Shajapur,Shajapur,Mustard,Mustard,FAQ,5600,5600,5600,03 Oct 2024
04-02-2023,152,Shajapur,Shajapur,Mustard,Other,FAQ,4120,5000,4510,04 Feb 2023
04-03-2023,64,Shajapur,Shajapur,Mustard,Other,FAQ,4500,5199,5090,04 Mar 2023
04-04-2023,56,Shajapur,Shajapur,Mustard,Other,FAQ,4755,5175,4870,04 Apr 2023
04-04-2024,170,Shajapur,Shajapur,Mustard,Mustard,FAQ,4560,4875,4805,04 Apr 2024
04-05-2023,186,Shajapur,Shajapur,Mustard,Other,FAQ,4100,4606,4575,04 May 2023
04-05-2024,59,Shajapur,Shajapur,Mustard,Mustard,FAQ,4515,4799,4799,04 May 2024
04-06-2023,246,Shajapur,Shajapur,Mustard,Other,FAQ,3400,4500,4400,04 Jun 2023
04-07-2023,131,Shajapur,Shajapur,Mustard,Other,FAQ,4720,4965,4915,04 Jul 2023
04-07-2024,127,Shajapur,Shajapur,Mustard,Mustard,FAQ,4000,5275,5275,04 Jul 2024
04-08-2023,36,Shajapur,Shajapur,Mustard,Other,FAQ,5000,5220,5060,04 Aug 2023
04-10-2023,193,Shajapur,Shajapur,Mustard,Other,FAQ,4790,4790,4790,04 Oct 2023
04-10-2024,94,Shajapur,Shajapur,Mustard,Mustard,FAQ,5270,5505,5505,04 Oct 2024
05-02-2024,184,Shajapur,Shajapur,Mustard,Mustard,FAQ,3250,4380,4200,05 Feb 2024
05-04-2023,5,Shajapur,Shajapur,Mustard,Other,FAQ,4500,5110,4945,05 Apr 2023
05-04-2024,89,Shajapur,Shajapur,Mustard,Mustard,FAQ,4500,4900,4755,05 Apr 2024
05-06-2024,45,Shajapur,Shajapur,Mustard,Mustard,FAQ,5205,5301,5301,05 Jun 2024
05-07-2023,185,Shajapur,Shajapur,Mustard,Other,FAQ,4000,4930,4900,05 Jul 2023
05-08-2024,179,Shajapur,Shajapur,Mustard,Mustard,FAQ,4930,5000,5000,05 Aug 2024
05-10-2024,13,Shajapur,Shajapur,Mustard,Mustard,FAQ,5605,5605,5605,05 Oct 2024
06-02-2023,148,Shajapur,Shajapur,Mustard,Other,FAQ,4000,5020,4530,06 Feb 2023
06-02-2024,86,Shajapur,Shajapur,Mustard,Mustard,FAQ,3896,4345,4000,06 Feb 2024
06-03-2023,106,Shajapur,Shajapur,Mustard,Other,FAQ,4580,5263,5005,06 Mar 2023
