Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,formatted_date
1,Shajapur,Shajapur,Onion,Onion,FAQ,1321,1321,1321,05 Mar 2024,05-03-2024
2,Shajapur,Shajapur,Onion,Medium,FAQ,1178,3283,3106,14 Aug 2024,14-08-2024
3,Shajapur,Shajapur,Onion,Medium,FAQ,100,1400,1400,14 Feb 2024,14-02-2024
4,Shajapur,Shajapur,Onion,Medium,FAQ,467,1665,1505,07 May 2024,07-05-2024
5,Shajapur,Shajapur,Onion,Onion,FAQ,1125,1500,1811,11 Jun 2024,11-06-2024
6,Shajapur,Shajapur,Onion,Medium,FAQ,709,3723,3257,07 Sep 2024,07-09-2024
7,Shajapur,Shajapur,Onion,Medium,FAQ,146,1625,146,21 Feb 2024,21-02-2024
8,Shajapur,Shajapur,Onion,Medium,FAQ,215,1525,1525,14 Mar 2024,14-03-2024
9,Shajapur,Shajapur,Onion,Onion,FAQ,2003,2003,2064,08 Jun 2024,08-06-2024
10,Shajapur,Shajapur,Onion,Medium,FAQ,137,1151,400,31 Jan 2024,31-01-2024
11,Shajapur,Shajapur,Onion,Medium,FAQ,336,1761,1700,15 May 2024,15-05-2024
12,Shajapur,Shajapur,Onion,Medium,FAQ,281,1534,857,01 Mar 2024,01-03-2024
13,Shajapur,Shajapur,Onion,Onion,FAQ,2280,2960,2960,07 Aug 2024,07-08-2024
14,Shajapur,Shajapur,Onion,Medium,FAQ,414,1535,1535,13 Apr 2024,13-04-2024
15,Shajapur,Shajapur,Onion,Medium,FAQ,468,2200,1514,14 Jun 2024,14-06-2024
16,Shajapur,Shajapur,Onion,Medium,FAQ,352,1345,1345,18 May 2024,18-05-2024
17,Shajapur,Shajapur,Onion,Onion-Organic,FAQ,1166,1166,1526,06 Mar 2024,06-03-2024
18,Shajapur,Shajapur,Onion,Onion,FAQ,2359,2684,2684,01 Aug 2024,01-08-2024
19,Shajapur,Shajapur,Onion,Onion,FAQ,800,1343,1500,04 Apr 2024,04-04-2024
20,Shajapur,Shajapur,Onion,Onion,FAQ,671,671,380,24 Jan 2024,24-01-2024
21,Shajapur,Shajapur,Onion,Medium,FAQ,865,2899,2895,05 Aug 2024,05-08-2024
22,Shajapur,Shajapur,Onion,Medium,FAQ,789,4603,2718,12 Jul 2024,12-07-2024
23,Shajapur,Shajapur,Onion,Medium,FAQ,152,1397,388,17 Feb 2024,17-02-2024
24,Shajapur,Shajapur,Onion,Onion,FAQ,991,991,304,13 Feb 2024,13-02-2024
25,Shajapur,Shajapur,Onion,Onion,FAQ,2200,2900,2200,05 Aug 2024,05-08-2024
26,Shajapur,Shajapur,Onion,Medium,FAQ,200,1113,114,20 Jan 2024,20-01-2024
27,Shajapur,Shajapur,Onion,Medium,FAQ,304,1321,304,13 Feb 2024,13-02-2024
28,Shajapur,Shajapur,Onion,Medium,FAQ,791,2677,2598,01 Aug 2024,01-08-2024
29,Shajapur,Shajapur,Onion,Medium,FAQ,285,1710,465,02 Mar 2024,02-03-2024
30,Shajapur,Shajapur,Onion,Medium,FAQ,377,1540,974,20 May 2024,20-05-2024
31,Shajapur,Shajapur,Onion,Onion,FAQ,700,700,450,28 Feb 2024,28-02-2024
32,Shajapur,Shajapur,Onion,Onion,FAQ,1455,1455,480,12 Mar 2024,12-03-2024
33,Shajapur,Shajapur,Onion,Medium,FAQ,563,3258,3048,16 Aug 2024,16-08-2024
34,Shajapur,Shajapur,Onion,Medium,FAQ,289,1599,289,08 Feb 2024,08-02-2024
35,Shajapur,Shajapur,Onion,Medium,FAQ,220,1386,1204,15 Mar 2024,15-03-2024
36,Shajapur,Shajapur,Onion,Medium,FAQ,417,2612,2406,20 Jun 2024,20-06-2024
37,Shajapur,Shajapur,Onion,Medium,FAQ,637,2684,2518,27 Jun 2024,27-06-2024
38,Shajapur,Shajapur,Onion,Medium,FAQ,705,2919,2559,08 Jul 2024,08-07-2024
39,Shajapur,Shajapur,Onion,Medium,FAQ,640,2857,2505,04 Jul 2024,04-07-2024
40,Shajapur,Shajapur,Onion,Onion,FAQ,1201,1902,997,04 Jan 2024,04-01-2024
41,Shajapur,Shajapur,Onion,Medium,FAQ,1030,3835,2648,27 Aug 2024,27-08-2024
42,Shajapur,Shajapur,Onion,Medium,FAQ,180,1390,1152,06 Apr 2024,06-04-2024
43,Shajapur,Shajapur,Onion,Medium,FAQ,588,1659,1255,19 Apr 2024,19-04-2024
44,Shajapur,Shajapur,Onion,Medium,FAQ,373,1770,1770,01 Jun 2024,01-06-2024
45,Shajapur,Shajapur,Onion,Medium,FAQ,858,1083,858,26 Jan 2024,26-01-2024
46,Shajapur,Shajapur,Onion,Onion,FAQ,2425,2848,2523,02 Jul 2024,02-07-2024
47,Shajapur,Shajapur,Onion,Medium,FAQ,100,1200,100,09 Feb 2024,09-02-2024
48,Shajapur,Shajapur,Onion,Medium,FAQ,707,3500,3233,31 Aug 2024,31-08-2024
49,Shajapur,Shajapur,Onion,Medium,FAQ,166,1252,752,07 Feb 2024,07-02-2024
50,Shajapur,Shajapur,Onion,Medium,FAQ,340,2011,340,10 Jan 2024,10-01-2024
51,Shajapur,Shajapur,Onion,Medium,FAQ,210,1156,327,19 Jan 2024,19-01-2024
52,Shajapur,Shajapur,Onion,Onion,FAQ,1089,1492,1357,16 May 2024,16-05-2024
53,Shajapur,Shajapur,Onion,Medium,FAQ,335,1222,1321,05 Mar 2024,05-03-2024
54,Shajapur,Shajapur,Onion,Medium,FAQ,250,1521,1521,25 Apr 2024,25-04-2024
55,Shajapur,Shajapur,Onion,Medium,FAQ,2135,2591,2591,07 Jul 2024,07-07-2024
56,Shajapur,Shajapur,Onion,Medium,FAQ,137,1368,1368,19 Mar 2024,19-03-2024
57,Shajapur,Shajapur,Onion,Onion,FAQ,560,700,1652,21 Mar 2024,21-03-2024
58,Shajapur,Shajapur,Onion,Onion,FAQ,1026,1031,1700,15 May 2024,15-05-2024
59,Shajapur,Shajapur,Onion,Medium,FAQ,520,4240,3855,19 Sep 2024,19-09-2024
60,Shajapur,Shajapur,Onion,Onion,FAQ,650,1386,857,01 Mar 2024,01-03-2024
61,Shajapur,Shajapur,Onion,Onion,FAQ,1551,1551,463,05 Jan 2024,05-01-2024
62,Shajapur,Shajapur,Onion,Onion,FAQ,2300,2650,2650,10 Aug 2024,10-08-2024
63,Shajapur,Shajapur,Onion,Onion,FAQ,800,1000,1000,11 Mar 2024,11-03-2024
64,Shajapur,Shajapur,Onion,Onion,FAQ,2518,2919,2813,01 Jul 2024,01-07-2024
65,Shajapur,Shajapur,Onion,Onion,FAQ,2500,2500,2718,05 Jul 2024,05-07-2024
66,Shajapur,Shajapur,Onion,Medium,FAQ,280,3867,1200,02 May 2024,02-05-2024
67,Shajapur,Shajapur,Onion,Medium,FAQ,300,3325,1647,20 Aug 2024,20-08-2024
68,Shajapur,Shajapur,Onion,Medium,FAQ,230,9900,9900,07 Mar 2024,07-03-2024
69,Shajapur,Shajapur,Onion,Onion,FAQ,2665,2665,2311,28 Jun 2024,28-06-2024
70,Shajapur,Shajapur,Onion,Medium,FAQ,1015,2150,1015,03 Jan 2024,03-01-2024
71,Shajapur,Shajapur,Onion,Medium,FAQ,820,3169,2868,09 Aug 2024,09-08-2024
72,Shajapur,Shajapur,Onion,Onion,FAQ,3025,3558,3543,22 Aug 2024,22-08-2024
73,Shajapur,Shajapur,Onion,Medium,FAQ,300,1803,300,23 Feb 2024,23-02-2024
74,Shajapur,Shajapur,Onion,Onion,FAQ,1725,1725,537,11 Jan 2024,11-01-2024
75,Shajapur,Shajapur,Onion,Medium,FAQ,240,1559,1000,11 Mar 2024,11-03-2024
76,Shajapur,Shajapur,Onion,Medium,FAQ,704,2760,2450,29 Jul 2024,29-07-2024
77,Shajapur,Shajapur,Onion,Medium,FAQ,487,2453,2052,15 Jun 2024,15-06-2024
78,Shajapur,Shajapur,Onion,Onion,FAQ,2579,2619,2505,04 Jul 2024,04-07-2024
79,Shajapur,Shajapur,Onion,Onion,FAQ,2300,2722,2722,31 Jul 2024,31-07-2024
80,Shajapur,Shajapur,Onion,Medium,FAQ,430,2203,2064,08 Jun 2024,08-06-2024
81,Shajapur,Shajapur,Onion,Medium,FAQ,487,2088,1835,13 Jun 2024,13-06-2024
82,Shajapur,Shajapur,Onion,Medium,FAQ,442,1871,1871,31 May 2024,31-05-2024
83,Shajapur,Shajapur,Onion,Onion,FAQ,865,1324,435,12 Jan 2024,12-01-2024
84,Shajapur,Shajapur,Onion,Onion,FAQ,2200,2700,2461,09 Jul 2024,09-07-2024
85,Shajapur,Shajapur,Onion,Medium,FAQ,232,1782,232,26 Feb 2024,26-02-2024
86,Shajapur,Shajapur,Onion,Onion,FAQ,974,1152,1350,02 Apr 2024,02-04-2024
87,Shajapur,Shajapur,Onion,Medium,FAQ,700,3635,2131,21 Aug 2024,21-08-2024
88,Shajapur,Shajapur,Onion,Medium,FAQ,332,25400,3107,24 Aug 2024,24-08-2024
89,Shajapur,Shajapur,Onion,Medium,FAQ,1050,3787,3648,12 Sep 2024,12-09-2024
90,Shajapur,Shajapur,Onion,Onion,FAQ,613,613,475,29 Jan 2024,29-01-2024
91,Shajapur,Shajapur,Onion,Medium,FAQ,301,1734,1386,04 May 2024,04-05-2024
92,Shajapur,Shajapur,Onion,Medium,FAQ,230,1800,600,16 Mar 2024,16-03-2024
93,Shajapur,Shajapur,Onion,Medium,FAQ,336,1195,336,23 Jan 2024,23-01-2024
94,Shajapur,Shajapur,Onion,Onion,FAQ,3225,3288,3288,13 Aug 2024,13-08-2024
95,Shajapur,Shajapur,Onion,Medium,FAQ,479,2782,2260,30 Jul 2024,30-07-2024
96,Shajapur,Shajapur,Onion,Onion,FAQ,2650,3000,3000,06 Sep 2024,06-09-2024
97,Shajapur,Shajapur,Onion,Onion,FAQ,3597,3618,3618,04 Sep 2024,04-09-2024
98,Shajapur,Shajapur,Onion,Medium,FAQ,691,2900,2523,02 Jul 2024,02-07-2024
99,Shajapur,Shajapur,Onion,Medium,FAQ,1179,1780,1179,01 Jan 2024,01-01-2024
100,Shajapur,Shajapur,Onion,Onion,FAQ,3474,3583,3583,24 Aug 2024,24-08-2024
101,Shajapur,Shajapur,Onion,Medium,FAQ,650,3500,3353,29 Aug 2024,29-08-2024
102,Shajapur,Shajapur,Onion,Onion,FAQ,1180,1180,1599,05 Apr 2024,05-04-2024
103,Shajapur,Shajapur,Onion,Medium,FAQ,340,1582,1142,09 Jan 2024,09-01-2024
104,Shajapur,Shajapur,Onion,Onion,FAQ,3077,3155,3155,08 Aug 2024,08-08-2024
105,Shajapur,Shajapur,Onion,Onion,FAQ,593,1154,1368,19 Mar 2024,19-03-2024
106,Shajapur,Shajapur,Onion,Onion,FAQ,1534,1534,1128,27 Feb 2024,27-02-2024
107,Shajapur,Shajapur,Onion,Medium,FAQ,249,1526,1526,06 Mar 2024,06-03-2024
108,Shajapur,Shajapur,Onion,Onion,FAQ,1400,3629,3629,05 Sep 2024,05-09-2024
109,Shajapur,Shajapur,Onion,Onion,FAQ,2257,2849,2210,03 Jul 2024,03-07-2024
110,Shajapur,Shajapur,Onion,Medium,FAQ,380,1051,380,24 Jan 2024,24-01-2024
111,Shajapur,Shajapur,Onion,Medium,FAQ,483,1843,1501,30 May 2024,30-05-2024
112,Shajapur,Shajapur,Onion,Onion,FAQ,559,1275,100,17 Jan 2024,17-01-2024
113,Shajapur,Shajapur,Onion,Medium,FAQ,200,1036,200,15 Feb 2024,15-02-2024
114,Shajapur,Shajapur,Onion,Medium,FAQ,539,20400,3489,06 Sep 2024,06-09-2024
115,Shajapur,Shajapur,Onion,Onion,FAQ,1004,1084,1500,01 May 2024,01-05-2024
116,Shajapur,Shajapur,Onion,Onion,FAQ,996,1347,1098,12 Feb 2024,12-02-2024
117,Shajapur,Shajapur,Onion,Onion,FAQ,1250,1250,400,31 Jan 2024,31-01-2024
118,Shajapur,Shajapur,Onion,Medium,FAQ,433,1801,1172,03 Jun 2024,03-06-2024
119,Shajapur,Shajapur,Onion,Medium,FAQ,383,2684,2349,19 Jun 2024,19-06-2024
120,Shajapur,Shajapur,Onion,Onion,FAQ,700,1391,1526,06 Mar 2024,06-03-2024
121,Shajapur,Shajapur,Onion,Medium,FAQ,131,1652,1652,21 Mar 2024,21-03-2024
122,Shajapur,Shajapur,Onion,Medium,FAQ,378,1604,643,22 Apr 2024,22-04-2024
123,Shajapur,Shajapur,Onion,Medium,FAQ,3244,3751,3751,25 Aug 2024,25-08-2024
124,Shajapur,Shajapur,Onion,Medium,FAQ,205,10500,1400,24 Apr 2024,24-04-2024
125,Shajapur,Shajapur,Onion,Medium,FAQ,363,1569,1276,29 Apr 2024,29-04-2024
126,Shajapur,Shajapur,Onion,Medium,FAQ,458,2813,2696,10 Jul 2024,10-07-2024
127,Shajapur,Shajapur,Onion,Medium,FAQ,570,2842,2714,25 Jun 2024,25-06-2024
128,Shajapur,Shajapur,Onion,Medium,FAQ,170,3717,2212,02 Aug 2024,02-08-2024
129,Shajapur,Shajapur,Onion,Medium,FAQ,323,1198,318,16 Feb 2024,16-02-2024
130,Shajapur,Shajapur,Onion,Medium,FAQ,122,1035,122,10 Feb 2024,10-02-2024
131,Shajapur,Shajapur,Onion,Medium,FAQ,412,1503,1503,18 Apr 2024,18-04-2024
132,Shajapur,Shajapur,Onion,Medium,FAQ,524,3888,3269,13 Sep 2024,13-09-2024
133,Shajapur,Shajapur,Onion,Medium,FAQ,1418,1580,1580,19 May 2024,19-05-2024
134,Shajapur,Shajapur,Onion,Onion,FAQ,2100,2100,2100,13 Jul 2024,13-07-2024
135,Shajapur,Shajapur,Onion,Medium,FAQ,845,1636,1636,23 Apr 2024,23-04-2024
136,Shajapur,Shajapur,Onion,Onion,FAQ,700,1451,9900,07 Mar 2024,07-03-2024
137,Shajapur,Shajapur,Onion,Medium,FAQ,601,2735,2311,28 Jun 2024,28-06-2024
138,Shajapur,Shajapur,Onion,Medium,FAQ,230,1691,1128,27 Feb 2024,27-02-2024
139,Shajapur,Shajapur,Onion,Medium,FAQ,428,1582,1500,28 May 2024,28-05-2024
