formatted_date,Sl No,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
01-01-2024,166,Shajapur,Shajapur,Potato,Potato,FAQ,101,884,101,01 Jan 2024
01-02-2024,174,Shajapur,Shajapur,Potato,Local,FAQ,569,774,1100,01 Feb 2024
01-03-2024,126,Shajapur,Shajapur,Potato,Potato,FAQ,616,1429,1400,01 Mar 2024
01-05-2024,124,Shajapur,Shajapur,Potato,Potato,FAQ,1247,1700,1700,01 May 2024
02-01-2024,117,Shajapur,Shajapur,Potato,Red,FAQ,293,820,293,02 Jan 2024
02-02-2024,72,Shajapur,Shajapur,Potato,Potato,FAQ,398,1375,398,02 Feb 2024
02-03-2024,130,Shajapur,Shajapur,Potato,Potato,FAQ,565,1504,1504,02 Mar 2024
02-04-2024,78,Shajapur,Shajapur,Potato,Potato,FAQ,220,1851,1851,02 Apr 2024
03-01-2024,11,Shajapur,Shajapur,Potato,Potato,FAQ,468,901,468,03 Jan 2024
03-02-2024,138,Shajapur,Shajapur,Potato,Potato,FAQ,353,1403,1100,03 Feb 2024
03-04-2024,50,Shajapur,Shajapur,Potato,Potato,FAQ,646,1780,1306,03 Apr 2024
03-05-2024,54,Shajapur,Shajapur,Potato,Potato,FAQ,943,1390,1390,03 May 2024
04-01-2024,93,Shajapur,Shajapur,Potato,Potato,FAQ,278,952,213,04 Jan 2024
04-03-2024,104,Shajapur,Shajapur,Potato,Potato,FAQ,593,1600,1168,04 Mar 2024
04-04-2024,142,Shajapur,Shajapur,Potato,Chips,FAQ,2235,2235,2235,04 Apr 2024
04-05-2024,106,Shajapur,Shajapur,Potato,Potato,FAQ,1336,1336,1336,04 May 2024
04-06-2024,168,Shajapur,Shajapur,Potato,Potato,FAQ,1418,1418,1418,04 Jun 2024
05-01-2024,162,Shajapur,Shajapur,Potato,Potato,FAQ,359,1375,359,05 Jan 2024
05-02-2024,120,Shajapur,Shajapur,Potato,Potato,FAQ,151,1400,151,05 Feb 2024
05-03-2024,144,Shajapur,Shajapur,Potato,Potato,FAQ,848,1419,1650,05 Mar 2024
05-04-2024,169,Shajapur,Shajapur,Potato,Chips,FAQ,2200,2200,2200,05 Apr 2024
05-08-2024,75,Shajapur,Shajapur,Potato,Potato,FAQ,2260,2260,2260,05 Aug 2024
06-01-2024,127,Shajapur,Shajapur,Potato,Red,FAQ,410,1050,1000,06 Jan 2024
06-02-2024,101,Shajapur,Shajapur,Potato,Potato,FAQ,281,1353,281,06 Feb 2024
06-03-2024,5,Shajapur,Shajapur,Potato,Potato,FAQ,140,1595,1595,06 Mar 2024
06-04-2024,58,Shajapur,Shajapur,Potato,Potato,FAQ,500,1551,800,06 Apr 2024
06-05-2024,82,Shajapur,Shajapur,Potato,Potato,FAQ,1298,1523,1523,06 May 2024
07-02-2024,99,Shajapur,Shajapur,Potato,Potato,FAQ,390,1391,1200,07 Feb 2024
07-03-2024,165,Shajapur,Shajapur,Potato,Chips,FAQ,1650,1650,1500,07 Mar 2024
07-05-2024,152,Shajapur,Shajapur,Potato,Potato,FAQ,1674,1705,1705,07 May 2024
07-09-2024,148,Shajapur,Shajapur,Potato,Potato,FAQ,2150,2250,2250,07 Sep 2024
08-01-2024,160,Shajapur,Shajapur,Potato,Potato,FAQ,300,1077,430,08 Jan 2024
08-02-2024,151,Shajapur,Shajapur,Potato,Local,FAQ,1207,1351,1229,08 Feb 2024
08-03-2024,21,Shajapur,Shajapur,Potato,Potato,FAQ,1525,1525,1525,08 Mar 2024
08-04-2024,102,Shajapur,Shajapur,Potato,Chips,FAQ,2200,2250,2250,08 Apr 2024
08-05-2024,122,Shajapur,Shajapur,Potato,Potato,FAQ,1076,1193,1193,08 May 2024
09-01-2024,44,Shajapur,Shajapur,Potato,Red,FAQ,401,1073,401,09 Jan 2024
09-02-2024,15,Shajapur,Shajapur,Potato,Potato,FAQ,100,1307,100,09 Feb 2024
09-03-2024,13,Shajapur,Shajapur,Potato,Potato,FAQ,915,1701,1701,09 Mar 2024
09-04-2024,98,Shajapur,Shajapur,Potato,Chips,FAQ,2200,2200,2200,09 Apr 2024
09-05-2024,55,Shajapur,Shajapur,Potato,Potato,FAQ,1463,1876,1876,09 May 2024
09-08-2024,33,Shajapur,Shajapur,Potato,Potato,FAQ,2240,2240,2240,09 Aug 2024
10-01-2024,146,Shajapur,Shajapur,Potato,Potato,FAQ,101,1100,400,10 Jan 2024
10-02-2024,139,Shajapur,Shajapur,Potato,Local,FAQ,120,120,120,10 Feb 2024
11-01-2024,56,Shajapur,Shajapur,Potato,Red,FAQ,351,971,351,11 Jan 2024
11-03-2024,68,Shajapur,Shajapur,Potato,Potato,FAQ,873,1710,1481,11 Mar 2024
12-01-2024,51,Shajapur,Shajapur,Potato,Potato,FAQ,293,1062,1100,12 Jan 2024
12-02-2024,94,Shajapur,Shajapur,Potato,Potato,FAQ,597,1291,738,12 Feb 2024
12-03-2024,175,Shajapur,Shajapur,Potato,Potato,FAQ,723,1688,1536,12 Mar 2024
12-08-2024,155,Shajapur,Shajapur,Potato,Potato,FAQ,2160,2160,2160,12 Aug 2024
13-02-2024,80,Shajapur,Shajapur,Potato,Potato,FAQ,744,1601,820,13 Feb 2024
13-03-2024,92,Shajapur,Shajapur,Potato,Potato,FAQ,787,1690,1613,13 Mar 2024
13-04-2024,73,Shajapur,Shajapur,Potato,Potato,FAQ,978,1970,1970,13 Apr 2024
14-02-2024,137,Shajapur,Shajapur,Potato,Potato,FAQ,455,2341,900,14 Feb 2024
14-03-2024,145,Shajapur,Shajapur,Potato,Potato,FAQ,220,1725,700,14 Mar 2024
14-08-2024,172,Shajapur,Shajapur,Potato,Chips,FAQ,2150,2150,2150,14 Aug 2024
15-01-2024,167,Shajapur,Shajapur,Potato,Red,FAQ,317,980,293,15 Jan 2024
15-02-2024,100,Shajapur,Shajapur,Potato,Potato,FAQ,258,1309,900,15 Feb 2024
15-03-2024,53,Shajapur,Shajapur,Potato,Potato,FAQ,762,1589,925,15 Mar 2024
15-04-2024,128,Shajapur,Shajapur,Potato,Potato,FAQ,645,2000,2000,15 Apr 2024
16-01-2024,89,Shajapur,Shajapur,Potato,Potato,FAQ,312,1015,1000,16 Jan 2024
16-02-2024,19,Shajapur,Shajapur,Potato,Potato,FAQ,481,1351,900,16 Feb 2024
16-03-2024,161,Shajapur,Shajapur,Potato,Potato,FAQ,752,1755,1755,16 Mar 2024
16-04-2024,36,Shajapur,Shajapur,Potato,Potato,FAQ,711,1311,1311,16 Apr 2024
16-05-2024,57,Shajapur,Shajapur,Potato,Potato,FAQ,983,983,983,16 May 2024
17-01-2024,35,Shajapur,Shajapur,Potato,Chips,FAQ,615,725,1000,17 Jan 2024
17-02-2024,121,Shajapur,Shajapur,Potato,Potato,FAQ,564,1297,900,17 Feb 2024
17-04-2024,45,Shajapur,Shajapur,Potato,Chips,FAQ,2280,2280,2280,17 Apr 2024
17-05-2024,67,Shajapur,Shajapur,Potato,Potato,FAQ,1679,1679,1679,17 May 2024
18-01-2024,154,Shajapur,Shajapur,Potato,Potato,FAQ,451,1016,600,18 Jan 2024
18-03-2024,40,Shajapur,Shajapur,Potato,Potato,FAQ,550,1775,1435,18 Mar 2024
18-04-2024,27,Shajapur,Shajapur,Potato,Potato,FAQ,700,1574,1574,18 Apr 2024
19-01-2024,149,Shajapur,Shajapur,Potato,Potato,FAQ,191,986,191,19 Jan 2024
19-02-2024,129,Shajapur,Shajapur,Potato,Potato,FAQ,620,1419,886,19 Feb 2024
19-03-2024,28,Shajapur,Shajapur,Potato,Potato,FAQ,538,1772,1700,19 Mar 2024
19-04-2024,134,Shajapur,Shajapur,Potato,Potato,FAQ,850,1724,2300,19 Apr 2024
20-01-2024,136,Shajapur,Shajapur,Potato,Local,FAQ,831,912,503,20 Jan 2024
20-02-2024,140,Shajapur,Shajapur,Potato,Potato,FAQ,875,1480,875,20 Feb 2024
20-03-2024,83,Shajapur,Shajapur,Potato,Potato,FAQ,654,1725,1725,20 Mar 2024
20-04-2024,173,Shajapur,Shajapur,Potato,Potato,FAQ,646,1400,1400,20 Apr 2024
20-05-2024,17,Shajapur,Shajapur,Potato,Potato,FAQ,1009,1751,1751,20 May 2024
20-08-2024,66,Shajapur,Shajapur,Potato,Potato,FAQ,2300,2300,2300,20 Aug 2024
21-01-2024,116,Shajapur,Shajapur,Potato,Potato,FAQ,950,1011,950,21 Jan 2024
21-02-2024,158,Shajapur,Shajapur,Potato,Potato,FAQ,575,1523,988,21 Feb 2024
21-03-2024,131,Shajapur,Shajapur,Potato,Potato,FAQ,1036,1770,1155,21 Mar 2024
21-12-2023,143,Shajapur,Shajapur,Potato,Local,FAQ,700,700,721,21 Dec 2023
22-02-2024,34,Shajapur,Shajapur,Potato,Potato,FAQ,859,1425,1411,22 Feb 2024
22-03-2024,4,Shajapur,Shajapur,Potato,Potato,FAQ,878,1811,1000,22 Mar 2024
22-04-2024,60,Shajapur,Shajapur,Potato,Potato,FAQ,978,2050,2050,22 Apr 2024
22-12-2023,91,Shajapur,Shajapur,Potato,Red,FAQ,778,778,162,22 Dec 2023
23-01-2024,113,Shajapur,Shajapur,Potato,Potato,FAQ,246,1077,400,23 Jan 2024
23-02-2024,109,Shajapur,Shajapur,Potato,Potato,FAQ,822,1475,822,23 Feb 2024
23-03-2024,123,Shajapur,Shajapur,Potato,Potato,FAQ,700,1725,1725,23 Mar 2024
23-04-2024,163,Shajapur,Shajapur,Potato,Potato,FAQ,1334,1334,2300,23 Apr 2024
23-08-2024,7,Shajapur,Shajapur,Potato,Chips,FAQ,2150,2150,2150,23 Aug 2024
24-01-2024,159,Shajapur,Shajapur,Potato,Potato,FAQ,351,1002,1000,24 Jan 2024
24-04-2024,132,Shajapur,Shajapur,Potato,Potato,FAQ,821,1114,1114,24 Apr 2024
24-05-2024,171,Shajapur,Shajapur,Potato,Chips,FAQ,2355,2355,2355,24 May 2024
25-01-2024,125,Shajapur,Shajapur,Potato,Potato,FAQ,125,1050,459,25 Jan 2024
25-02-2024,135,Shajapur,Shajapur,Potato,Chips,FAQ,1525,1525,1525,25 Feb 2024
25-04-2024,86,Shajapur,Shajapur,Potato,Potato,FAQ,1377,1377,1377,25 Apr 2024
25-08-2024,8,Shajapur,Shajapur,Potato,Chips,FAQ,2150,2150,2150,25 Aug 2024
26-02-2024,157,Shajapur,Shajapur,Potato,Potato,FAQ,756,1552,1146,26 Feb 2024
26-04-2024,133,Shajapur,Shajapur,Potato,Potato,FAQ,955,1513,1513,26 Apr 2024
26-12-2023,156,Shajapur,Shajapur,Potato,Potato,FAQ,400,941,400,26 Dec 2023
27-02-2024,59,Shajapur,Shajapur,Potato,Potato,FAQ,800,1511,900,27 Feb 2024
27-04-2024,153,Shajapur,Shajapur,Potato,Potato,FAQ,1000,1150,1150,27 Apr 2024
27-12-2023,170,Shajapur,Shajapur,Potato,Potato,FAQ,135,967,135,27 Dec 2023
28-12-2023,65,Shajapur,Shajapur,Potato,Red,FAQ,444,763,350,28 Dec 2023
29-01-2024,87,Shajapur,Shajapur,Potato,Local,FAQ,1000,1000,462,29 Jan 2024
