formatted_date,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
01-01-2024,295,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3500,4870,4280,01 Jan 2024
01-02-2023,332,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3690,5399,5075,01 Feb 2023
01-02-2024,233,Shajapur,Shajapur,Soyabean,Yellow,FAQ,2800,4435,4190,01 Feb 2024
01-03-2023,507,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4300,5302,5025,01 Mar 2023
01-03-2024,241,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3000,4425,4275,01 Mar 2024
01-04-2024,449,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4100,4100,4100,01 Apr 2024
01-06-2023,445,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4070,4930,4731,01 Jun 2023
01-06-2024,509,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4321,4700,4700,01 Jun 2024
01-07-2023,301,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3500,4980,4669,01 Jul 2023
01-07-2024,211,Shajapur,Shajapur,Soyabean,Yellow,FAQ,2290,4472,3800,01 Jul 2024
01-08-2023,344,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3750,4926,4750,01 Aug 2023
01-08-2024,254,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3200,4302,4297,01 Aug 2024
01-09-2023,450,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4100,4974,4856,01 Sep 2023
01-10-2024,313,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3580,4669,4050,01 Oct 2024
01-11-2023,437,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4020,4975,4590,01 Nov 2023
01-12-2023,374,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3850,4960,4570,01 Dec 2023
02-01-2023,472,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4170,5715,5325,02 Jan 2023
02-02-2023,420,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4000,5376,5155,02 Feb 2023
02-02-2024,208,Shajapur,Shajapur,Soyabean,Yellow,FAQ,2050,4570,4355,02 Feb 2024
02-03-2023,506,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4300,5235,5027,02 Mar 2023
02-03-2024,348,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3790,4430,4240,02 Mar 2024
02-04-2024,521,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4445,4550,4525,02 Apr 2024
02-05-2023,542,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4920,5268,5160,02 May 2023
02-05-2024,102,Shajapur,Shajapur,Soyabean,Soyabeen,FAQ,2500,4535,4535,02 May 2024
02-06-2023,328,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3670,5075,4800,02 Jun 2023
02-07-2023,406,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4000,4950,4660,02 Jul 2023
02-07-2024,229,Shajapur,Shajapur,Soyabean,Yellow,FAQ,2700,4432,4355,02 Jul 2024
02-08-2023,456,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4125,4926,4710,02 Aug 2023
02-08-2024,251,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3105,4304,4304,02 Aug 2024
02-09-2023,409,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4000,5068,4801,02 Sep 2023
02-11-2023,263,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3350,5016,4670,02 Nov 2023
02-12-2023,468,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4160,4985,4580,02 Dec 2023
03-01-2023,451,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4100,5700,5400,03 Jan 2023
03-02-2023,371,Shajapur,Shajapur,Soyabean,Yellow,FAQ,3830,5400,5055,03 Feb 2023
03-02-2024,111,Shajapur,Shajapur,Soyabean,Soyabeen,FAQ,2560,4455,4255,03 Feb 2024
03-03-2023,431,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4005,5322,5061,03 Mar 2023
03-04-2024,460,Shajapur,Shajapur,Soyabean,Yellow,FAQ,4140,4595,4575,03 Apr 2024
