formatted_date,Sl No,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
01-01-2023,42,Shajapur,Shajapur,Wheat,Other,FAQ,2250,2505,2400,01 Jan 2023
01-02-2023,177,Shajapur,Shajapur,Wheat,Other,FAQ,2401,2721,2576,01 Feb 2023
01-03-2023,322,Shajapur,Shajapur,Wheat,Other,FAQ,1800,2418,2182,01 Mar 2023
01-03-2024,218,Shajapur,Shajapur,Wheat,Local,FAQ,2005,2612,2301,01 Mar 2024
01-04-2023,2,Shajapur,Shajapur,Wheat,Other,FAQ,2190,2190,2190,01 Apr 2023
01-06-2023,407,Shajapur,Shajapur,Wheat,Other,FAQ,2027,2480,2250,01 Jun 2023
01-06-2024,51,Shajapur,Shajapur,Wheat,Local,FAQ,2325,2850,2386,01 Jun 2024
01-07-2023,30,Shajapur,Shajapur,Wheat,Other,FAQ,2000,2550,2252,01 Jul 2023
01-08-2023,254,Shajapur,Shajapur,Wheat,Other,FAQ,2250,2675,2390,01 Aug 2023
01-09-2023,282,Shajapur,Shajapur,Wheat,Other,FAQ,2339,2671,2474,01 Sep 2023
01-10-2024,389,Shajapur,Shajapur,Wheat,Wheat,FAQ,2586,2933,2650,01 Oct 2024
01-11-2023,356,Shajapur,Shajapur,Wheat,Other,FAQ,2454,3018,2682,01 Nov 2023
01-12-2023,196,Shajapur,Shajapur,Wheat,Other,FAQ,2380,2801,2570,01 Dec 2023
02-01-2023,27,Shajapur,Shajapur,Wheat,Other,FAQ,2370,2850,2591,02 Jan 2023
02-02-2023,46,Shajapur,Shajapur,Wheat,Other,FAQ,2450,2672,2584,02 Feb 2023
02-03-2023,149,Shajapur,Shajapur,Wheat,Other,FAQ,1958,2372,2157,02 Mar 2023
02-03-2024,309,Shajapur,Shajapur,Wheat,Local,FAQ,2062,2631,2300,02 Mar 2024
02-04-2023,194,Shajapur,Shajapur,Wheat,Other,FAQ,2190,2190,2190,02 Apr 2023
02-04-2024,253,Shajapur,Shajapur,Wheat,Local,FAQ,2000,3034,2300,02 Apr 2024
02-05-2023,205,Shajapur,Shajapur,Wheat,Other,FAQ,1961,2526,2252,02 May 2023
02-05-2024,22,Shajapur,Shajapur,Wheat,Local,FAQ,2233,2650,2399,02 May 2024
02-06-2023,87,Shajapur,Shajapur,Wheat,Other,FAQ,1830,2515,2185,02 Jun 2023
02-07-2023,402,Shajapur,Shajapur,Wheat,Other,FAQ,2250,2250,2250,02 Jul 2023
02-08-2023,178,Shajapur,Shajapur,Wheat,Other,FAQ,2261,2762,2486,02 Aug 2023
02-09-2023,1,Shajapur,Shajapur,Wheat,Other,FAQ,2334,2770,2400,02 Sep 2023
02-10-2023,131,Shajapur,Shajapur,Wheat,Other,FAQ,2400,2450,2450,02 Oct 2023
02-11-2023,245,Shajapur,Shajapur,Wheat,Other,FAQ,2450,3240,2702,02 Nov 2023
