Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,formatted_date
1,Shajapur,Shajapur,Wheat,Wheat,FAQ,2543,3000,3000,08 Aug 2024,08-08-2024
2,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2370,2432,2400,30 Apr 2024,30-04-2024
3,Shajapur,Shajapur,Wheat,Local,FAQ,2300,2869,2392,21 May 2024,21-05-2024
4,Shajapur,Shajapur,Wheat,Wheat,FAQ,2600,2981,2650,18 Oct 2024,18-10-2024
5,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2300,2333,2150,20 Mar 2024,20-03-2024
6,Shajapur,Shajapur,Wheat,Local,FAQ,2325,2850,2386,01 Jun 2024,01-06-2024
7,Shajapur,Shajapur,Wheat,Wheat,FAQ,2400,3030,2590,20 Sep 2024,20-09-2024
8,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2341,2365,2350,04 Apr 2024,04-04-2024
9,Shajapur,Shajapur,Wheat,Local,FAQ,2200,2804,2255,04 May 2024,04-05-2024
10,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2330,2370,2415,05 Apr 2024,05-04-2024
11,Shajapur,Shajapur,Wheat,Wheat,FAQ,2561,3033,2650,05 Sep 2024,05-09-2024
12,Shajapur,Shajapur,Wheat,Wheat,FAQ,2550,2942,2790,18 Sep 2024,18-09-2024
13,Shajapur,Shajapur,Wheat,Local,FAQ,2160,2750,2400,05 Jun 2024,05-06-2024
14,Shajapur,Shajapur,Wheat,Local,FAQ,1770,2631,2340,04 Mar 2024,04-03-2024
15,Shajapur,Shajapur,Wheat,Local,FAQ,1690,2902,2400,31 May 2024,31-05-2024
16,Shajapur,Shajapur,Wheat,Local,FAQ,1995,2635,2250,06 Mar 2024,06-03-2024
17,Shajapur,Shajapur,Wheat,Local,FAQ,2110,2986,2400,30 Apr 2024,30-04-2024
18,Shajapur,Shajapur,Wheat,Wheat,FAQ,2538,2941,2800,23 Sep 2024,23-09-2024
19,Shajapur,Shajapur,Wheat,Local,FAQ,2100,3035,2300,20 Apr 2024,20-04-2024
20,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2446,2472,2300,24 Apr 2024,24-04-2024
21,Shajapur,Shajapur,Wheat,Wheat,FAQ,2400,2868,2670,05 Oct 2024,05-10-2024
22,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2270,2318,2300,19 Mar 2024,19-03-2024
23,Shajapur,Shajapur,Wheat,Wheat,FAQ,2555,4100,2692,04 Oct 2024,04-10-2024
24,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2352,2372,2300,22 Mar 2024,22-03-2024
25,Shajapur,Shajapur,Wheat,Wheat,FAQ,2600,2865,2865,26 Sep 2024,26-09-2024
26,Shajapur,Shajapur,Wheat,Local,FAQ,2378,2750,2467,21 Jun 2024,21-06-2024
27,Shajapur,Shajapur,Wheat,Wheat,FAQ,2505,2969,2800,22 Aug 2024,22-08-2024
28,Shajapur,Shajapur,Wheat,Local,FAQ,2304,2930,2800,20 May 2024,20-05-2024
29,Shajapur,Shajapur,Wheat,Local,FAQ,2005,2612,2301,01 Mar 2024,01-03-2024
30,Shajapur,Shajapur,Wheat,Mill Quality,FAQ,2286,2780,2300,26 Apr 2024,26-04-2024
31,Shajapur,Shajapur,Wheat,Local,FAQ,2300,2999,2400,29 May 2024,29-05-2024
